name,spawnable,useType,type,status,rarity,statMin,statMax,cost,itemImage,inventoryImage
rng01,1,equipment,ring,allResist,2,3,5,400,Sprites/Items_36,Sprites/EquipIcon/blt01
rng02,1,equipment,ring,allResist,3,5,7,1500,Sprites/Items_36,Sprites/EquipIcon/blt01
rng03,1,equipment,ring,allResist,5,7,9,4500,Sprites/Items_36,Sprites/EquipIcon/blt01
rng04,1,equipment,ring,allResist,7,9,11,10500,Sprites/Items_36,Sprites/EquipIcon/blt01
rng05,1,equipment,ring,allResist,9,11,15,24000,Sprites/Items_36,Sprites/EquipIcon/blt01
,,,,,,,,,,
nec01,1,equipment,necklace,allResist,3,7,9,750,Sprites/Items_31,Sprites/EquipIcon/blt01
nec02,1,equipment,necklace,allResist,4,9,11,5500,Sprites/Items_31,Sprites/EquipIcon/blt01
nec03,1,equipment,necklace,allResist,6,11,15,10700,Sprites/Items_31,Sprites/EquipIcon/blt01
nec04,1,equipment,necklace,allResist,8,15,20,25500,Sprites/Items_31,Sprites/EquipIcon/blt01
nec05,1,equipment,necklace,allResist,10,20,25,46500,Sprites/Items_31,Sprites/EquipIcon/blt01
,,,,,,,,,,
brc01,1,equipment,bracelet,allResist,2,3,5,400,Sprites/Items_41,Sprites/EquipIcon/blt01
brc02,1,equipment,bracelet,allResist,3,5,7,1500,Sprites/Items_41,Sprites/EquipIcon/blt01
brc03,1,equipment,bracelet,allResist,5,7,9,4500,Sprites/Items_41,Sprites/EquipIcon/blt01
brc04,1,equipment,bracelet,allResist,7,9,11,10500,Sprites/Items_41,Sprites/EquipIcon/blt01
brc05,1,equipment,bracelet,allResist,9,11,15,24000,Sprites/Items_41,Sprites/EquipIcon/blt01
